0;1;You have encountered a wild boar. Your attack has a bonus of 1 to hit with a d20. To deal damage, you must roll at least 22. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 22;The bonus of +1should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
100;1;You have encountered a lion. Your attack has a bonus of 19 to hit with a d20. To deal damage, you must roll at least 17. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 17;The bonus of +19should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
60;1;You have encountered a dark elf. Your attack has a bonus of 11 to hit with a d20. To deal damage, you must roll at least 20. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 20;The bonus of +11should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
45;1;You have encountered a witch. Your attack has a bonus of 17 to hit with a d20. To deal damage, you must roll at least 29. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 29;The bonus of +17should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
100;1;You have encountered a ghoul. Your attack has a bonus of 21 to hit with a d20. To deal damage, you must roll at least 18. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 18;The bonus of +21should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
100;1;You have encountered a orc. Your attack has a bonus of 20 to hit with a d20. To deal damage, you must roll at least 16. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 16;The bonus of +20should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
90;1;You have encountered a wild Peter Jensen. Your attack has a bonus of 21 to hit with a d20. To deal damage, you must roll at least 24. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 24;The bonus of +21should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
20;1;You have encountered a orc. Your attack has a bonus of 9 to hit with a d20. To deal damage, you must roll at least 26. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 26;The bonus of +9should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
0;1;You have encountered a ghoul. Your attack has a bonus of -1 to hit with a d20. To deal damage, you must roll at least 29. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 29;The bonus of -1should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
35;1;You have encountered a orc. Your attack has a bonus of 7 to hit with a d20. To deal damage, you must roll at least 21. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 21;The bonus of +7should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
75;1;You have encountered a witch. Your attack has a bonus of 11 to hit with a d20. To deal damage, you must roll at least 17. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 17;The bonus of +11should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
100;1;You have encountered a demonic version of David Johnson. Your attack has a bonus of 20 to hit with a d20. To deal damage, you must roll at least 12. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 12;The bonus of +20should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
0;1;You have encountered a wild boar. Your attack has a bonus of 3 to hit with a d20. To deal damage, you must roll at least 24. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 24;The bonus of +3should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
50;1;You have encountered a wild Peter Jensen. Your attack has a bonus of 14 to hit with a d20. To deal damage, you must roll at least 25. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 25;The bonus of +14should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
25;1;You have encountered a dark elf. Your attack has a bonus of -4 to hit with a d20. To deal damage, you must roll at least 12. What is your probability to do damage (in percent. Round to the nearest whole number)?;There are 20 total possible rolls but only a certain amount that will roll at least 12;The bonus of -4should be applied before calculating the d20 roll's probability;probabilty = (desired roll - bonus)/totalpossible rolls;
